Date,Close,prediction,prediction_scaled,signal,order,order_cash,holdings,Cash,portfolio_value,signal_2,order_2,holdings_2,Cash_2,portfolio_value_2
2024-07-22 04:00:00,937.3435668945312,2,1,1,0,10,10,92076.89514160156,101450.33081054688,1,0,10,93299.6875,102673.12316894531
2024-07-23 04:00:00,928.9287719726562,2,1,1,0,10,10,92076.89514160156,101366.18286132812,1,0,10,93299.6875,102588.97521972656
2024-07-24 04:00:00,869.1185913085938,0,0,1,0,10,10,92076.89514160156,100768.0810546875,1,0,10,93299.6875,101990.87341308594
2024-07-25 04:00:00,859.0407104492188,2,1,1,0,10,10,92076.89514160156,100667.30224609375,1,0,10,93299.6875,101890.09460449219
2024-07-26 04:00:00,884.6935424804688,2,1,1,0,10,10,92076.89514160156,100923.83056640625,1,0,10,93299.6875,102146.62292480469
2024-07-29 04:00:00,868.5340576171875,2,1,1,0,10,10,92076.89514160156,100762.23571777344,1,0,10,93299.6875,101985.02807617188
2024-07-30 04:00:00,858.2479248046875,2,1,1,0,10,10,92076.89514160156,100659.37438964844,1,0,10,93299.6875,101882.16674804688
2024-07-31 04:00:00,934.5308837890625,1,-1,0,-1,10,0,101422.20397949219,101422.20397949219,1,0,10,93299.6875,102644.99633789062
2024-08-01 04:00:00,881.6636352539062,2,1,1,1,10,10,92605.56762695312,101422.20397949219,1,0,10,93299.6875,102116.32385253906
2024-08-02 04:00:00,807.4757690429688,2,1,1,0,10,10,92605.56762695312,100680.32531738281,1,0,10,93299.6875,101374.44519042969
2024-08-05 04:00:00,818.4503173828125,2,1,1,0,10,10,92605.56762695312,100790.07080078125,1,0,10,93299.6875,101484.19067382812
2024-08-06 04:00:00,841.057861328125,1,-1,0,-1,10,0,101016.14624023438,101016.14624023438,1,0,10,93299.6875,101710.26611328125
2024-08-07 04:00:00,834.4132690429688,2,1,1,1,10,10,92672.01354980469,101016.14624023438,1,0,10,93299.6875,101643.82019042969
2024-08-08 04:00:00,874.6199951171875,2,1,1,0,10,10,92672.01354980469,101418.21350097656,1,0,10,93299.6875,102045.88745117188
2024-08-09 04:00:00,858.5571899414062,2,1,1,0,10,10,92672.01354980469,101257.58544921875,1,0,10,93299.6875,101885.25939941406
2024-08-12 04:00:00,850.885009765625,2,1,1,0,10,10,92672.01354980469,101180.86364746094,1,0,10,93299.6875,101808.53759765625
2024-08-13 04:00:00,867.4765014648438,2,1,1,0,10,10,92672.01354980469,101346.77856445312,1,0,10,93299.6875,101974.45251464844
2024-08-14 04:00:00,877.5431518554688,2,1,1,0,10,10,92672.01354980469,101447.44506835938,1,0,10,93299.6875,102075.11901855469
2024-08-15 04:00:00,926.1004638671875,1,-1,0,-1,10,0,101933.01818847656,101933.01818847656,1,0,10,93299.6875,102560.69213867188
2024-08-16 04:00:00,916.5326538085938,1,-1,0,0,10,0,101933.01818847656,101933.01818847656,1,0,10,93299.6875,102465.01403808594
2024-08-19 04:00:00,930.9891357421875,1,-1,0,0,10,0,101933.01818847656,101933.01818847656,1,0,10,93299.6875,102609.57885742188
2024-08-20 04:00:00,924.0352172851562,1,-1,0,0,10,0,101933.01818847656,101933.01818847656,1,0,10,93299.6875,102540.03967285156
2024-08-21 04:00:00,941.4248657226562,1,-1,0,0,10,0,101933.01818847656,101933.01818847656,1,0,10,93299.6875,102713.93615722656
2024-08-22 04:00:00,905.6080322265625,2,1,1,1,10,10,92876.93786621094,101933.01818847656,1,0,10,93299.6875,102355.76782226562
2024-08-23 04:00:00,905.1590576171875,2,1,1,0,10,10,92876.93786621094,101928.52844238281,1,0,10,93299.6875,102351.27807617188
2024-08-26 04:00:00,881.2645263671875,2,1,1,0,10,10,92876.93786621094,101689.58312988281,1,0,10,93299.6875,102112.33276367188
2024-08-27 04:00:00,887.8193359375,2,1,1,0,10,10,92876.93786621094,101755.13122558594,1,0,10,93299.6875,102177.880859375
2024-08-28 04:00:00,886.0733642578125,2,1,1,0,10,10,92876.93786621094,101737.67150878906,1,0,10,93299.6875,102160.42114257812
2024-08-29 04:00:00,885.6543579101562,2,1,1,0,10,10,92876.93786621094,101733.4814453125,1,0,10,93299.6875,102156.23107910156
2024-08-30 04:00:00,901.7769165039062,1,-1,0,-1,10,0,101894.70703125,101894.70703125,1,0,10,93299.6875,102317.45666503906
2024-09-03 04:00:00,843.432373046875,2,1,1,1,10,10,93460.38330078125,101894.70703125,1,0,10,93299.6875,101734.01123046875
2024-09-04 04:00:00,809.600830078125,2,1,1,0,10,10,93460.38330078125,101556.3916015625,1,0,10,93299.6875,101395.69580078125
2024-09-05 04:00:00,793.7576293945312,2,1,1,0,10,10,93460.38330078125,101397.95959472656,1,0,10,93299.6875,101237.26379394531
2024-09-06 04:00:00,751.0467529296875,2,1,1,0,10,10,93460.38330078125,100970.85083007812,1,0,10,93299.6875,100810.15502929688
2024-09-09 04:00:00,748.0836791992188,2,1,1,0,10,10,93460.38330078125,100941.22009277344,1,0,10,93299.6875,100780.52429199219
2024-09-10 04:00:00,749.6400146484375,2,1,1,0,10,10,93460.38330078125,100956.78344726562,1,0,10,93299.6875,100796.08764648438
2024-09-11 04:00:00,798.287109375,1,-1,0,-1,10,0,101443.25439453125,101443.25439453125,1,0,10,93299.6875,101282.55859375
2024-09-12 04:00:00,798.3170166015625,2,1,1,1,10,10,93460.08422851562,101443.25439453125,1,0,10,93299.6875,101282.85766601562
2024-09-13 04:00:00,814.4695434570312,2,1,1,0,10,10,93460.08422851562,101604.77966308594,1,0,10,93299.6875,101444.38293457031
2024-09-16 04:00:00,801.1803588867188,2,1,1,0,10,10,93460.08422851562,101471.88781738281,1,0,10,93299.6875,101311.49108886719
2024-09-17 04:00:00,803.8242797851562,1,-1,0,-1,10,0,101498.32702636719,101498.32702636719,1,0,10,93299.6875,101337.93029785156
2024-09-18 04:00:00,786.015625,1,-1,0,0,10,0,101498.32702636719,101498.32702636719,1,0,10,93299.6875,101159.84375
2024-09-19 04:00:00,826.2421875,1,-1,0,0,10,0,101498.32702636719,101498.32702636719,1,0,10,93299.6875,101562.109375
2024-09-20 04:00:00,793.4384155273438,1,-1,0,0,10,0,101498.32702636719,101498.32702636719,1,0,10,93299.6875,101234.07165527344
